id;content;content_length;created_at;language;url;replies_count;reblogs_count;favourites_count;account_username;account_followers;account_following;account_statuses;account_created_at;account_bot;source_trust_score;label;hashtag_used
1,16455E+17;As a result, some  # guard  posts have gone empty & others have been staffed with ?teachers & nurses [!] pulled from their regular positions, one  # prison  official said, speaking on the condition of anonymity for fear of retaliation. # FactCheck   # TrumpLies   # law   # DOJ   # NationalSecurity   # Trump   # criminal;321;2026-04-23 16:03:15+00:00;en;https://masto.ai/@Nonilex/116454863347000353;0;2;9;Nonilex;9918;2663;39482;2022-11-07 00:00:00+00:00;False;9.0;1;factcheck
1,16455E+17;The section responsible ?for  # EnvironmentalLaw  lost about a third of its staff. And the department�s  # CivilRights  Division lost more than half. And the Bureau of  # Prisons  � ?which the DOJ�s internal watchdog has said is in a �staffing crisis� � shed more than 2,200 employees, about 6% of its workforce. The number of inmates in federal custody has remained largely unchanged. # FactCheck   # TrumpLies   # law   # DOJ   # NationalSecurity   # Trump   # criminal;471;2026-04-23 16:01:35+00:00;en;https://masto.ai/@Nonilex/116454856851313929;1;5;5;Nonilex;9918;2663;39482;2022-11-07 00:00:00+00:00;False;9.0;1;factcheck
1,16455E+17;The records Reuters obtained show the number of filled & unfilled positions in each section of the  # DOJ  as of early April. All told, they show that the department employs around 107,000 people, about 11,200 fewer people than it did during the ?fiscal year that ended 3 months before  # Trump  began his second term. # FactCheck   # TrumpLies   # law   # NationalSecurity   # criminal;386;2026-04-23 15:56:26+00:00;en;https://masto.ai/@Nonilex/116454836597220203;4;5;5;Nonilex;9918;2663;39482;2022-11-07 00:00:00+00:00;False;9.0;1;factcheck
1,16455E+17;The  # Trump  admin has made deep cuts across the federal govt, beginning last year in the first months of his presidency. One of the few exceptions was the arm of the govt that handles  # immigration  enforcement, which secured billions of dollars in additional funding as the admin pressed to deport more people. # FactCheck   # TrumpLies   # law   # DOJ   # NationalSecurity   # criminal;390;2026-04-23 15:51:17+00:00;en;https://masto.ai/@Nonilex/116454816321718142;2;4;5;Nonilex;9918;2663;39482;2022-11-07 00:00:00+00:00;False;9.0;1;factcheck
1,16455E+17;That contraction, combined with an increased focus on  # immigration , has caused authorities to pull back from some of their typical work, interviews & agency records show. Last year, for example, federal prosecutions for  # DrugTrafficking  dropped to their lowest level in more than two decades. The govt is bringing even fewer such ?cases this year, Reuters found after reviewing millions of federal court dockets from Westlaw�. # FactCheck   # TrumpLies   # law   # DOJ   # NationalSecurity   # Trump   # criminal;518;2026-04-23 15:46:05+00:00;en;https://masto.ai/@Nonilex/116454795847492157;1;5;6;Nonilex;9918;2663;39482;2022-11-07 00:00:00+00:00;False;9.0;1;factcheck
1,16455E+17;�The administration talks a big game when it comes to  # crime  &  # terrorism , but the fact ?that it�s hollowing out agencies tasked with addressing them shows that they don�t stand behind their words,� said Stacey Young, a former  # DOJ  lawyer who leads  # Justice  Connection, a group that supports staff leaving the department. # FactCheck   # TrumpLies   # law   # NationalSecurity   # Trump   # criminal;411;2026-04-23 15:44:11+00:00;en;https://masto.ai/@Nonilex/116454788377479950;1;8;7;Nonilex;9918;2663;39482;2022-11-07 00:00:00+00:00;False;9.0;0;factcheck
1,16455E+17;Those agencies have traditionally handled the government�s highest-profile  # criminal  investigations, including efforts to combat  # terrorism , deter  # drug  traffickers & keep  # guns  away from criminals. Other records, including detailed information about ?people who left government jobs, show an increasing pace of departures from  # LawEnforcement  agencies after  # Trump  began his second term in January 2025. # FactCheck   # TrumpLies   # law   # DOJ   # NationalSecurity;485;2026-04-23 15:42:52+00:00;en;https://masto.ai/@Nonilex/116454783219526368;2;2;7;Nonilex;9918;2663;39482;2022-11-07 00:00:00+00:00;False;9.0;1;factcheck
1,16455E+17;"""It�s the difference between being proactive & entrepreneurial or purely reactive to the most obvious imperative of the day,"" Adam Hickey, a fmr snr ofcl in the  # NationalSecurity  Division, said of the ?loss of staff. Those records, which Reuters obtained under the Freedom of Information Act, offer the most detailed accounting to date of the extent to which the  # Trump  admin ?has downsized some of the nation�s premier  # LawEnforcement  agencies. # FactCheck   # TrumpLies   # law   # DOJ   # criminal";509;2026-04-23 15:40:18+00:00;en;https://masto.ai/@Nonilex/116454773127809392;1;4;4;Nonilex;9918;2663;39482;2022-11-07 00:00:00+00:00;False;9.0;1;factcheck
1,16455E+17;Other parts of the  # DOJ  shrank even more rapidly. Its  # NationalSecurity  Division, which handles  # intelligence  &  # terrorism  matters, lost nearly 38%!! of its staff, the department�s records show. The division�s most recent budget request to  # Congress  noted �unprecedented personnel constraints� in the unit that handles cases involving  # espionage  & the export of sensitive  # military  ? # technology . # FactCheck   # TrumpLies   # law   # Trump   # criminal;476;2026-04-23 15:38:16+00:00;en;https://masto.ai/@Nonilex/116454765095787806;1;10;7;Nonilex;9918;2663;39482;2022-11-07 00:00:00+00:00;False;9.0;1;factcheck
1,16455E+17;The records, from the  # US   # Justice  Department�s management unit, show that the total number of employees at the  # FBI  has dropped more than 7% since the government�s ?2024 fiscal year, a loss of about 2,600 people. The Drug Enforcement Administration�s [ # DEA ] staff has dropped by about 6%, & the Bureau of Alcohol, Tobacco, Firearms & Explosives [ # ATF ] lost about 14%! of its workers. # FactCheck   # TrumpLies   # law   # DOJ   # NationalSecurity   # Trump   # criminal;485;2026-04-23 15:36:44+00:00;en;https://masto.ai/@Nonilex/116454759111542326;1;8;9;Nonilex;9918;2663;39482;2022-11-07 00:00:00+00:00;False;9.0;1;factcheck
